Number,Tweet,Category
23975,"i find it funny when fags write ""looking for bf"" on a grindr ap. LOL thats a fucking ap dumbass.",Gender Norms
3315,@GrizzboAdams fucking block your white ass because you try to start shit like a fucking queer so fuck you NIGGA,Race
5601,@bellaangeletti ur a fag,No context
2324,@2014samanthaKay good enough fag,No context
19136,RT @iBeZo: Stupid fucking nigger LeBron. You flopping stupid jungle bunny monkey faggot.,Sports
21188,Stu a rape faced faggot man I'm sick of this nigga,No context
5230,@YourDudeFerg gay fags,Gender Norms
5172,@WyattNuckels @grizzboadams shut the fuck up fag ill beat the shit outta you,Gender Norms
5381,@_____0__o______ faggot,No context
5557,@austin_farrar your a fucking queer faggot bitch,Gender Norms
23538,ahah fucking queer @KingJames kill urself,Entertainment
3192,@FrankieJGrande omg gtfo white faggot,Race
6100,@holyh00ker he looks like a pretty dyke&#128129;&#10024;,Entertainment
16439,RT @MichaelGT03: Happy birthday freshman faggots @cooopster98 @Chase123456718,Social
2500,@AustinG1135 answer my snapchat faggot \n#butthurt,Social
4848,@Tanner_Harris_ I've been knowing fag,No context
10083,I bet you think you a no-chill savage huh. Fucking faggot @KILLSemaj,Race
3241,@Garner_412 heyyyyyyyyyyy fag boy am I gonna watch you play?,Gaming
969,&#128514; RT @TheOnlyReed: LMFAO RT @Tone314: If you watching porn &amp; beating off &amp; yo homie text u &amp; it show his name in the banner you're a faggot,Entertainment
11129,"I would like to apologize to anyone I have called fat, stupid, gay, nigger, jew or retarded. I am truly sorry.... \n\nJK \n\nJust trolling\n\nFags",Social
11845,Iont see how some of you niggas fags!!,Race
12189,Kanye west is a faggot,Entertainment
22273,Truth RT @Adolfhibsta: Only a faggot would turn down hairy pussy,Gender Norms
2830,@ChaseBasford chase you God damn faggot &#128514;&#128557;&#128514;&#128557;,Entertainment
4814,@SydneeSmalling fuck Miley tranny looking now damn ass nigga,Entertainment
6032,@godrocamora416 faggot,No context
5032,@TreyBizzy I thought you would like him cause of the Chi but yeah he a faggot,Religion
22302,Twitter is for fags.,Entertainment
7492,"Accept your flaws and imperfections because that's what makes you, YOU! See I'm a fuck, small dick faggot with parents who don't love me.",Social
9389,Gay ass nigga &#128514;&#128514; bitch you thought you thought,No context
4519,@RepulsiveTool And the only band that sucked worse live is those fags Guns &amp; Poses.,Entertainment
8461,Chicks love these ugly hipster faggots. Prolly cause they look like the dad that was never in their life.,Gender Norms
13433,"Not All Straight Men - I am frustrated. Unlike on OKCupid, queer folks don&#8217;t have the ability to block... http://t.co/hBF2xZa0ke",Gender Norms
3597,@JaiBrooks1 faggot,No context
24323,one day im like harry styles is so hot the next day is who tf is this faggot,Entertainment
3318,@GrizzboAdams roid rage much faggot?,No context
6514,@kitten_nugget69 stfu dyke looking hoe.,No context
18360,"RT @_VodkaThoughts_: ""Light beer? You mean faggot piss?"" -Overly Powered Man",Gender Norms
14973,RT @DefendWallSt: Tell me how you really feel. RT @1SleepingGiant: those little #ISIS faggots usually have bags over their heads anyway.,Politics
24410,"she pooted &#8220;@Not1FuckisGiven: Either Young Thug gay, or this bitch pooted https://t.co/g0FgRX7dju&#8221;",Entertainment
6703,@mjs79 @ChingonAbe well he is at Genos. So he is the ultimate faggot,Race
5088,@Versanche only faggots drive stick,Social
3363,"@HeilSidious Sion is a faggot. Very meh ganks pre-6 and post-6 his ganks are still pretty meh he's just a tank, nothing special imo Mao +",Gaming
3275,"@GoDaddy Hope you guys do get attacked for supporting SOPA, bunch of dirty snake faggots.",Politics
2440,@AndreBerto can't wait for more PEDS is that it? Roid munching faggot,Politics
4357,@Oskzilla fuck you niggah you gay. Lol,Race
12845,"Michael Sam being cut further proves that we fags don't belong in football or #NFL, it is a heterosexual sport for heterosexuals.",Sports
3316,@GrizzboAdams ight nigga haha fucking queer has to clear his schedule,No context
21100,Sonnen is a faggot,Sports
21102,"Soon @fuckeveryword will be to ""Fuck Backtrack"" and I can't wait because fuck those faggots.",Social
